Assembly	contigs
# misassemblies	4
  # contig misassemblies	4
    # c. relocations	0
    # c. translocations	4
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	2
Misassembled contigs length	4971
# possibly misassembled contigs	1
    # possible misassemblies	2
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	265
# indels	2
    # indels (<= 5 bp)	2
    # indels (> 5 bp)	0
Indels length	2
