All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  6      
  # contig misassemblies         6      
    # c. relocations             1      
    # c. translocations          5      
    # c. inversions              0      
  # scaffold misassemblies       0      
    # s. relocations             0      
    # s. translocations          0      
    # s. inversions              0      
# misassembled contigs           6      
Misassembled contigs length      8110   
# possibly misassembled contigs  2      
    # possible misassemblies     2      
# local misassemblies            5      
# scaffold gap ext. mis.         0      
# scaffold gap loc. mis.         0      
# unaligned mis. contigs         1      
# mismatches                     13513  
# indels                         336    
    # indels (<= 5 bp)           296    
    # indels (> 5 bp)            40     
Indels length                    1617   
