Assembly	contigs
# misassemblies	5
  # contig misassemblies	5
    # c. relocations	1
    # c. translocations	4
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	5
Misassembled contigs length	7261
# possibly misassembled contigs	0
    # possible misassemblies	0
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	3
# mismatches	11475
# indels	269
    # indels (<= 5 bp)	241
    # indels (> 5 bp)	28
Indels length	1084
