Assemblies       contigs
A39              42738  
ANC4215          -      
ANC4422          0      
B10A             0      
B5B              0      
BB226            0      
BB362            0      
BRTC1            -      
CIP110305        -      
CIP110357        0      
CIP110549        0      
DSM14961         -      
DSM14964         -      
EC031            0      
EC034            0      
EC115            0      
EC24             0      
FNA11            0      
FNA3             0      
NCTC5866         154683 
NIPH706          25447  
NIPH991          25447  
SCC474reference  0      
SCC477           0      
SM1              0      
