ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
1_22FN008	2664814	0	2542679	0	0	0	122135
1_22FN018	2664814	0	675034	0	0	0	1989780
1_22FN020	2664814	0	2660108	0	0	0	4706
1_22FN021	2664814	0	2664814	0	0	0	0
1_22FN025	2664814	0	2664814	0	0	0	0
1_22FN028	2664814	0	2664556	0	0	0	258
1_22FN029	2664814	0	2664814	0	0	0	0
1_22FN031	2664814	0	2664814	0	0	0	0
1_22FN038	2664814	0	2664814	0	0	0	0
1_22FN039	2664814	0	2664092	0	0	0	722
1_22FN057	2664814	0	2664814	0	0	0	0
1_22FN058	2664814	0	2664814	0	0	0	0
1_22FN059	2664814	0	2620858	0	0	0	43956
2_22FN061	2664814	0	2664814	0	0	0	0
2_22FN062	2664814	0	2653049	0	0	0	11765
2_22FN063	2664814	0	2663525	0	0	0	1289
2_22FN064	2664814	0	2658254	0	0	0	6560
2_22FN065	2664814	0	2664814	0	0	0	0
2_22FN066	2664814	0	2664814	0	0	0	0
2_22FN068	2664814	0	2655020	0	0	0	9794
2_22FN070	2664814	0	2664581	0	0	0	233
2_22FN071	2664814	0	2647140	0	0	0	17674
2_22FN072	2664814	0	2664814	0	0	0	0
2_22FN073	2664814	0	2664814	0	0	0	0
2_22FN081	2664814	0	2664265	0	0	0	549
2_22FN082	2664814	0	2664814	0	0	0	0
2_22FN083	2664814	0	2664366	0	0	0	448
3_22FN093	2664814	0	2664814	0	0	0	0
3_22FN096	2664814	0	2658543	0	0	0	6271
3_22FN098	2664814	0	2664814	0	0	0	0
3_22FN100	2664814	0	2442169	0	0	0	222645
3_22FN102	2664814	0	2664814	0	0	0	0
3_22FN103	2664814	0	2663852	0	0	0	962
3_FN011	2664814	0	2664055	0	0	0	759
3_FN021	2664814	0	2664814	0	0	0	0
3_FN026	2664814	0	2664588	0	0	0	226
3_FN030	2664814	0	2664814	0	0	0	0
3_FN051	2664814	0	2652239	0	0	0	12575
3_FN053	2664814	0	2664814	0	0	0	0
3_FN054	2664814	0	2664814	0	0	0	0
3_FN062	2664814	0	2664814	0	0	0	0
4_FN075	2664814	0	2632106	0	0	0	32708
4_FN106	2664814	0	2664814	0	0	0	0
4_FN116	2664814	0	2640140	0	0	0	24674
4_FN118	2664814	0	1752820	0	0	0	911994
4_FN128	2664814	0	643100	0	0	0	2021714
4_FN131	2664814	0	1165367	0	0	0	1499447
4_FN136	2664814	0	2651552	0	0	0	13262
4_FN142	2664814	0	2664057	0	0	0	757
4_FN144	2664814	0	2664090	0	0	0	724
4_FN150	2664814	0	2664814	0	0	0	0
4_FN153	2664814	0	2663501	0	0	0	1313
4_FN174	2664814	0	2651046	0	0	0	13768
4_FN176	2664814	0	2595923	0	0	0	68891
Reference	2664814	2664814	0	0	0	0	0
