Assembly	contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1160
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1160
Total length	1160
Reference length	2624802
GC (%)	48.45
Reference GC (%)	0.00
N50	1160
NG50	-
N90	1160
NG90	-
auN	1160.0
auNG	0.5
L50	1
LG50	-
L90	1
LG90	-
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	1041
Genome fraction (%)	0.005
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6722.69
# indels per 100 kbp	0.00
Largest alignment	119
Total aligned length	119
NA50	-
NGA50	-
NA90	-
NGA90	-
auNA	12.2
auNGA	0.0
LA50	-
LGA50	-
LA90	-
LGA90	-
