Assemblies       contigs
A39              22.32  
ANC4215          -      
ANC4422          32.66  
B10A             148.81 
B5B              63.21  
BB226            44.28  
BB362            40.67  
BRTC1            -      
CIP110305        -      
CIP110357        0.00   
CIP110549        19.84  
DSM14961         -      
DSM14964         -      
EC031            45.28  
EC034            44.66  
EC115            0.00   
EC24             50.94  
FNA11            82.88  
FNA3             95.23  
NCTC5866         904.98 
NIPH706          0.00   
NIPH991          0.00   
SCC474reference  95.23  
SCC477           95.10  
SM1              0.00   
