Assemblies       contigs
A39              219499 
ANC4215          -      
ANC4422          6124   
B10A             672    
B5B              6328   
BB226            758847 
BB362            570419 
BRTC1            -      
CIP110305        -      
CIP110357        119    
CIP110549        251995 
DSM14961         -      
DSM14964         -      
EC031            611704 
EC034            602395 
EC115            1598   
EC24             7853   
FNA11            21717  
FNA3             19951  
NCTC5866         221    
NIPH706          991    
NIPH991          117    
SCC474reference  19951  
SCC477           18927  
SM1              119    
