Assemblies	contigs
A39	9.343
ANC4215	-
ANC4422	0.257
B10A	0.026
B5B	0.235
BB226	29.373
BB362	23.878
BRTC1	-
CIP110305	-
CIP110357	0.004
CIP110549	10.679
DSM14961	-
DSM14964	-
EC031	25.225
EC034	25.153
EC115	0.061
EC24	0.285
FNA11	0.825
FNA3	0.747
NCTC5866	0.008
NIPH706	0.033
NIPH991	0.003
SCC474reference	0.747
SCC477	0.690
SM1	0.005
