S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
64735	65697	1	963	EC115_NZ_VTDP01000003.1	NODE_456_length_963_cov_1.655286	99.38		True
CONTIG	NODE_456_length_963_cov_1.655286	963	correct
45579	46213	635	1	EC115_NZ_VTDP01000003.1	NODE_1101_length_635_cov_1.058621	99.37		True
CONTIG	NODE_1101_length_635_cov_1.058621	635	correct
