Assemblies       contigs
A39              311    
ANC4215          -      
ANC4422          7      
B10A             1      
B5B              6      
BB226            908    
BB362            681    
BRTC1            -      
CIP110305        -      
CIP110357        1      
CIP110549        361    
DSM14961         -      
DSM14964         -      
EC031            716    
EC034            704    
EC115            2      
EC24             11     
FNA11            26     
FNA3             26     
NCTC5866         1      
NIPH706          3      
NIPH991          1      
SCC474reference  26     
SCC477           25     
SM1              1      
not_aligned      334    
