All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  5      
  # contig misassemblies         5      
    # c. relocations             1      
    # c. translocations          4      
    # c. inversions              0      
  # scaffold misassemblies       0      
    # s. relocations             0      
    # s. translocations          0      
    # s. inversions              0      
# misassembled contigs           5      
Misassembled contigs length      7261   
# possibly misassembled contigs  2      
    # possible misassemblies     2      
# local misassemblies            2      
# scaffold gap ext. mis.         0      
# scaffold gap loc. mis.         0      
# unaligned mis. contigs         3      
# mismatches                     11816  
# indels                         277    
    # indels (<= 5 bp)           248    
    # indels (> 5 bp)            29     
Indels length                    1116   
